Composer,ComposerFullName,Gender
Rachmaninov,Sergei Rachmaninov,Male
Ravel,Maurice Ravel,Male
Rebel,Jean-Féry Rebel,Male
Reger,Max Reger,Male
Reich,Steve Reich,Male
Reikow,Detlef Reikow,Male
Rimsky-Korsakov,Nikolai Rimsky-Korsakov,Male
Robert B. and Richard M. Sherman,Robert B. and Richard M. Sherman,Male
Rodrigo,Joaquín Rodrigo,Male
Rossini,Gioachino Rossini,Male
Rouse,Christopher Rouse,Male
Rzewski,Frederic Rzewski,Male
Saint-Saëns,Camille Saint-Saëns,Male
Schoenberg,Arnold Schoenberg,Male
Schreker,Franz Schreker,Male
Schubert,Franz Schubert,Male
Schulhoff,Erwin Schulhoff,Male
Schumann,Robert Schumann,Male
Sdraulig,Harry Sdraulig,Male
Shostakovich,Dmitri Shostakovich,Male
Sibelius,Jean Sibelius,Male
Skipworth,Lachlan Skipworth,Male
Smetana,Bedřich Smetana,Male
Sollima,Giovanni Sollima,Male
Stanhope,Paul Stanhope,Male
Stephan,Rudi Stephan,Male
Stookey and Snicket,Nathaniel Stookey,Male
Strauss,Richard Strauss,Male
Stravinsky,Igor Stravinsky,Male
Suk,Josef Suk,Male
Tansman,Alexandre Tansman,Male
Tawadros,Joseph Tawadros,Male
Tchaikovsky,Pyotr Ilyich Tchaikovsky,Male
Telemann,Georg Philipp Telemann,Male
Thomas Adès,Thomas Adès,Male
Thomas Newman,Thomas Newman,Male
Unknown,Unknown,Unknown
Varèse,Edgard Varèse,Male
Vaughan Williams,Ralph Vaughan Williams,Male
Verdi,Giuseppe Verdi,Male
Vierne,Louis Vierne,Male
Villa-Lobos,Heitor Villa-Lobos,Male
Vivaldi,Antonio Vivaldi,Male
W Marsalis,Wynton Marsalis,Male
Wagner,Richard Wagner,Male
Watanabe,Kaoru Watanabe,Male
Webern,Anton Webern,Male
Westlake,Nigel Westlake,Male
Williams,John Williams,Male
Wolf,Hugo Wolf,Male
Wood,Henry Wood,Male
Young,Miriama Young,Female
Zelenka,Jan Dismas Zelenka,Male
Zemlinsky,Alexander von Zemlinsky,Male
